Initial State,Search Algorithm,Heuristic,Found Solution,Time,Max Frontier Size
"[[2, 1, 3], [7, 8, 6], [0, 5, 4]]",Greedy,heuristic_misplaced_tiles,True,0.007732868194580078,315
"[[2, 1, 3], [7, 8, 6], [0, 5, 4]]",Greedy,heuristic_euclidean,True,0.00701594352722168,225
"[[3, 1, 8], [2, 7, 5], [0, 6, 4]]",A*,heuristic_manhattan,True,0.0284268856048584,649
"[[3, 1, 8], [2, 7, 5], [0, 6, 4]]",A*,heuristic_misplaced_tiles,True,0.3853621482849121,10444
"[[3, 1, 8], [2, 7, 5], [0, 6, 4]]",A*,heuristic_euclidean,True,0.06558680534362793,1354
"[[3, 1, 8], [2, 7, 5], [0, 6, 4]]",Greedy,heuristic_manhattan,True,0.008578062057495117,340
"[[3, 1, 8], [2, 7, 5], [0, 6, 4]]",Greedy,heuristic_misplaced_tiles,True,0.017296791076660156,686
"[[3, 1, 8], [2, 7, 5], [0, 6, 4]]",Greedy,heuristic_euclidean,True,0.011362075805664062,336
"[[5, 7, 4], [0, 2, 3], [8, 1, 6]]",A*,heuristic_manhattan,True,0.003774881362915039,123
"[[5, 7, 4], [0, 2, 3], [8, 1, 6]]",A*,heuristic_misplaced_tiles,True,0.03013896942138672,996
"[[5, 7, 4], [0, 2, 3], [8, 1, 6]]",A*,heuristic_euclidean,True,0.008643865585327148,220
"[[5, 7, 4], [0, 2, 3], [8, 1, 6]]",Greedy,heuristic_manhattan,True,0.006273984909057617,246
"[[5, 7, 4], [0, 2, 3], [8, 1, 6]]",Greedy,heuristic_misplaced_tiles,True,0.004288911819458008,184
"[[5, 7, 4], [0, 2, 3], [8, 1, 6]]",Greedy,heuristic_euclidean,True,0.007661104202270508,234
"[[0, 8, 7], [4, 1, 2], [3, 5, 6]]",A*,heuristic_manhattan,True,0.04298591613769531,1035
"[[0, 8, 7], [4, 1, 2], [3, 5, 6]]",A*,heuristic_misplaced_tiles,True,1.0448620319366455,20978
"[[0, 8, 7], [4, 1, 2], [3, 5, 6]]",A*,heuristic_euclidean,True,0.16860079765319824,3468
"[[0, 8, 7], [4, 1, 2], [3, 5, 6]]",Greedy,heuristic_manhattan,True,0.0034623146057128906,133
"[[0, 8, 7], [4, 1, 2], [3, 5, 6]]",Greedy,heuristic_misplaced_tiles,True,0.014858007431030273,611
